john fiedler|jim cummings|andre stojka|piglet's big movie
mel blanc|don brodie|stuart buchanan|pinocchio
johnny depp|geoffrey rush|orlando bloom|pirates of the caribbean: at world's end
johnny depp|orlando bloom|keira knightley|pirates of the caribbean: dead man's chest
johnny depp|pen�lope cruz|geoffrey rush|pirates of the caribbean: on stranger tides
johnny depp|geoffrey rush|orlando bloom|pirates of the caribbean: the curse of the black pearl
raviv ullman|leah pipes|spencer redford|pixel perfect
kyle breitkopf|addison holley|juan luis bonilla|pj masks
ruth clifford|pinto colvig|dessie flynn|pluto's christmas tree
joe baker|christian bale|irene bedard|pocahontas
irene bedard|jim cummings|donal gibson|pocahontas ii: journey to a new world
hayley mills|jane wyman|richard egan|pollyanna
jim cummings|john fiedler|ken sansom|pooh's grand adventure: the search for christopher robin
jim cummings|john fiedler|nikita hopkins|pooh's heffalump movie
demi lovato|selena gomez|nicholas braun|princess protection program
aimee teegarden|thomas mcdonell|devaughn nixon|prom
issac ryan brown|sam lavagnino|harland williams|puppy dog pals
bret 'brook' parker|michael daley|michael frederickson|purl
tony anselmo|jeannie elias|elizabeth daily|quack pack
madina nalwanga|david oyelowo|lupita nyong'o|queen of katwe
kimberly j. brown|daniel roebuck|elizabeth morehead|quints
patton oswalt|ian holm|lou romano|ratatouille
kay panabaker|danielle panabaker|alexandra krosney|read it and weep
krystle po|jason dohring|lillian hurst|ready to run
rickey d'shon collins|jason davis|ashley johnson|recess: all growed down
rickey d'shon collins|jason davis|ashley johnson|recess: school's out
rickey d'shon collins|jason davis|myles jeffrey|recess: taking the fifth grade
terrence howard|cuba gooding jr.|nate parker|red tails
denzel washington|will patton|wood harris|remember the titans
bette davis|christopher lee|kim richards|return from witch mountain
sara paxton|judith hoag|lucas grabeel|return to halloweentown
fairuza balk|nicol williamson|jean marsh|return to oz
david gallagher|eugene levy|keene curtis|richie rich's christmas wish
beverley mitchell|brie larson|jon lindstrom|right on track
camilla belle|dwier brown|stacie hess|rip girls
roger miller|peter ustinov|terry-thomas|robin hood
felicity jones|diego luna|alan tudyk|rogue one: a star wars story
thomas ian nicholas|gary busey|albert hall|rookie of the year
paul newman|steve squyres|rob manning|roving mars
penelope ann miller|kevin pollak|michael beach|ruby bridges
robert redford|arapata mckay|tsaan ciqae|sacred planet
jack carson|robert culp|patricia barry|sammy, the way-out seal: part 1
brent schraff|sunny singh attar|arun rao|sanjay's super team
cheryl ladd|danny woodburn|kaitlyn maher|santa paws 2: the santa pups
pinto colvig|walt disney|allan watson|santa's workshop
emma thompson|tom hanks|annie rose buckley|saving mr. banks
jack andraka|ramy khodeir|serena mccalla|science fair
mae whitman|lucy hale|timothy dalton|secret of the wings
diane lane|john malkovich|dylan walsh|secretariat
bella thorne|zendaya|davis cleveland|shake it up
ashley tisdale|austin butler|cameron goodman|sharpay's fabulous adventure
lucas grabeel|kevin michael richardson|jeff bennett|sheriff callie's wild west
stian smestad|gabriel byrne|louisa milwood-haigh|shipwrecked
dan castellaneta|julie kavner|nancy cartwright|the simpsons movie
whoopi goldberg|maggie smith|kathy najimy|sister act
whoopi goldberg|kathy najimy|barnard hughes|sister act 2: back in the habit
kelly blatz|joey pollari|linda kash|skyrunners
mary costa|bill shirley|eleanor audley|sleeping beauty
