Eddie Bowz,Heather Medway,Ann Turkel,the fear
Эрика Элениак,William McNamara,Michael Lerner,girl in the cadillac
Blythe Danner,Frank Whaley,Sheryl Lee,homage
Christopher Lambert,Mario Van Peebles,Deborah Kara Unger,highlander: the final dimension
Sam Neill,Julie Carmen,Jürgen Prochnow,in the mouth of madness
Luke Perry,Stephen Baldwin,Cynthia Geary,8 seconds
Duane Martin,Tupac Amaru Shakur,Bernie Mac,above the rim
Raúl Juliá,Anjelica Huston,Christopher Lloyd,addams family values
Brendan Fraser,Steve Buscemi,Adam Sandler,airheads
Kevin Bacon,Charles Gitonga Maina,Yolanda Vazquez,the air up there
Richard Dreyfuss,Emilio Estevez,Rosie O'Donnell,another stakeout
Taylor Nichols,Chris Eigeman,Mira Sorvino,barcelona
Robin Williams,Maudie Johnson,Max Johnson,being human
Jim Varney,Diedrich Bader,Эрика Элениак,the beverly hillbillies
Eddie Murphy,Judge Reinhold,Héctor Elizondo,beverly hills cop iii
Madeleine Stowe,Aidan Quinn,James Remar,blink
Nick Nolte,Shaquille O'Neal,Mary McDonnell,blue chips
Jessica Lange,Tommy Lee Jones,Powers Boothe,blue sky
Gabrielle Anwar,Terry Kinney,Billy Wirth,body snatchers
Julian Sands,Sherilyn Fenn,Bill Paxton,boxing helena
Robert De Niro,Chazz Palminteri,Lillo Brancato,a bronx tale
Chris Elliott,Ritch Brinkley,James Gammon,cabin boy
Jason Priestley,Gabriel Olds,Jerry O'Connell,calendar girl
Al Pacino,Sean Penn,Penelope Ann Miller,carlito's way
Billy Crystal,Daniel Stern,Jon Lovitz,city slickers ii: the legend of curly's gold
Dana Carvey,Valeria Golino,James Earl Jones,clean slate
Sylvester Stallone,John Lithgow,Michael Rooker,cliffhanger
Robert Knott,Dan Aykroyd,Jane Curtin,coneheads
Bruce Willis,Jane March,Rubén Blades,color of night
Chevy Chase,Jack Palance,Dianne Wiest,cops & robbersons
Woody Harrelson,Kiefer Sutherland,Dylan McDermott,the cowboy way
Harvey Keitel,Madonna,James Russo,dangerous game
Kevin Kline,Sigourney Weaver,Frank Langella,dave
Jason London,Rory Cochrane,Wiley Wiggins,dazed and confused
Sylvester Stallone,Wesley Snipes,Sandra Bullock,demolition man
Uma Thurman,Lorraine Bracco,Pat Morita,even cowgirls get the blues
Armand Assante,Sherilyn Fenn,Kate Nelligan,fatal instinct
Leslie Cheung,Gong Li,Zhang Fengyi,farewell my concubine
Harley Jane Kozak,Elizabeth McGovern,Bill Pullman,the favor
Larry B. Scott,Mark Christopher Lawrence,Rusty Cundieff,fear of a black hat
Joe Pesci,Brendan Fraser,Moira Kelly,with honors
Meg Ryan,Dennis Quaid,James Caan,flesh and bone
Mia Farrow,Jim Broadbent,Natasha Richardson,widows' peak
Jason James Richter,Lori Petty,August Schellenberg,free willy
Jason Patric,Wes Studi,Gene Hackman,geronimo: an american legend
Macaulay Culkin,Ted Danson,Glenne Headly,getting even with dad
Guinevere Turner,V.S. Brodie,T. Wendy McMillan,go fish
Colin Friels,Sean Connery,John Lithgow,a good man in africa
Rebecca De Mornay,Don Johnson,Dana Ivey,guilty as sin
Jean-Claude Van Damme,Arnold Vosloo,Lance Henriksen,hard target
Tommy Lee Jones,Robert John Burke,Timothy Carhart,heaven & earth
Charlie Sheen,Lloyd Bridges,Valeria Golino,hot shots! part deux
Dana Delany,Kim Cattrall,Cynthia Stevenson,live nude girls
Hugh Grant,Tara Fitzgerald,Colm Meaney,the englishman who went up a hill but came down a mountain
Meryl Streep,Glenn Close,Jeremy Irons,the house of the spirits
Bernie Mac,Chris Tucker,Christopher Reid,house party 3
Tim Robbins,Jennifer Jason Leigh,Paul Newman,the hudsucker proxy
Nick Nolte,Woody Harrelson,Albert Brooks,i'll do anything
Pauly Shore,Andy Dick,Lori Petty,in the army now
Clint Eastwood,Rene Russo,John Malkovich,in the line of fire
Daniel Day-Lewis,Pete Postlethwaite,Emma Thompson,in the name of the father
Larenz Tate,Joe Morton,Suzzanne Douglas,the inkwell
Angela Bassett,Laurence Fishburne,Vanessa Bell Calloway,what's love got to do with it
Joe Pesci,Christian Slater,Victoria Abril,jimmy hollywood
Emilio Estevez,Cuba Gooding Jr.,Denis Leary,judgment night
Sam Neill,Laura Dern,Jeff Goldblum,jurassic park
Brad Pitt,David Duchovny,Juliette Lewis,kalifornia
Eric Stoltz,Julie Delpy,Jean-Hugues Anglade,killing zoe
Jesse Bradford,Jeroen Krabbé,Lisa Eichhorn,king of the hill
Arnold Schwarzenegger,F. Murray Abraham,Art Carney,last action hero
Michael J. Fox,Christina Vidal,Nathan Lane,life with mikey
Paul Hogan,Beverly D'Angelo,Cuba Gooding Jr.,lightning jack
Jeremy Irons,John Lone,Barbara Sukowa,m. butterfly
Whoopi Goldberg,Ted Danson,Nia Long,made in america
Alec Baldwin,Nicole Kidman,Bill Pullman,malice
Woody Allen,Diane Keaton,Jerry Adler,manhattan murder mystery
Tyrin Turner,Larenz Tate,Glenn Plummer,menace ii society
Kurt Russell,Steven Seagal,Halle Berry,executive decision
Eiko Matsuda,Tatsuya Fuji,Aoi Nakajima,in the realm of the senses
Matt Dillon,Annabella Sciorra,Mary-Louise Parker,mr. wonderful
Robin Williams,Sally Field,Pierce Brosnan,mrs. doubtfire
Pat Morita,Hilary Swank,Michael Ironside,the next karate kid
Peter Weller,Judy Davis,Patrick Bauchau,the new age
Tilda Swinton,Billy Zane,Lothaire Bluteau,orlando
Kevin Costner,Clint Eastwood,Laura Dern,a perfect world
Tom Hanks,Denzel Washington,Jason Robards,philadelphia
Holly Hunter,Harvey Keitel,Sam Neill,the piano
Janet Jackson,Tupac Amaru Shakur,Regina King,poetic justice
Donald Sutherland,Eric Thal,Julie Warner,the puppet masters
Brian Benben,Mary Stuart Masterson,Ned Beatty,radioland murders
Denis Leary,Judy Davis,Kevin Spacey,the ref
Anthony Hopkins,Emma Thompson,James Fox,the remains of the day
Danny DeVito,Mark Wahlberg,Gregory Hines,renaissance man
Sean Connery,Wesley Snipes,Harvey Keitel,rising sun
Anthony Hopkins,Bridget Fonda,Matthew Broderick,the road to wellville
Robert John Burke,Nancy Allen,Mario Machado,robocop 3
Cary Elwes,Dom DeLuise,Roger Rees,robin hood: men in tights
Gary Oldman,Lena Olin,Annabella Sciorra,romeo is bleeding
